,origin,destination,treq,tdep,ttrav,tarr,tdrop,dist,pax_id,platform
800,5802352868,722976570,2020-10-02 09:59:11.198411,,0 days 00:21:30.000000000,2020-10-02 10:20:41.198411,,1290,800,0
1770,46328495,46423823,2020-10-02 09:59:20.198411,,0 days 01:36:15.000000000,2020-10-02 11:35:35.198411,,5775,1770,0
238,2306196651,46433742,2020-10-02 09:59:26.198411,,0 days 00:38:42.000000000,2020-10-02 10:38:08.198411,,2322,238,0
547,46426302,2311168469,2020-10-02 09:59:29.198411,,0 days 00:37:21.000000000,2020-10-02 10:36:50.198411,,2241,547,0
51,46186201,3295377779,2020-10-02 09:59:36.198411,,0 days 01:08:41.000000000,2020-10-02 11:08:17.198411,,4121,51,0
323,46298527,46376376,2020-10-02 09:59:37.198411,,0 days 01:06:11.000000000,2020-10-02 11:05:48.198411,,3971,323,0
283,4921336521,46444110,2020-10-02 09:59:37.198411,,0 days 01:05:52.000000000,2020-10-02 11:05:29.198411,,3952,283,0
2825,46316302,7638757813,2020-10-02 09:59:56.198411,,0 days 01:32:46.000000000,2020-10-02 11:32:42.198411,,5566,2825,0
340,46411428,149490595,2020-10-02 09:59:57.198411,,0 days 00:24:13.000000000,2020-10-02 10:24:10.198411,,1453,340,0
198,46397530,2020569181,2020-10-02 09:59:58.198411,,0 days 01:12:50.000000000,2020-10-02 11:12:48.198411,,4370,198,0
1386,46287449,46339795,2020-10-02 10:00:09.198411,,0 days 01:49:52.000000000,2020-10-02 11:50:01.198411,,6592,1386,0
2374,46357693,46422181,2020-10-02 10:00:09.198411,,0 days 01:13:50.000000000,2020-10-02 11:13:59.198411,,4430,2374,0
2448,1037059832,46422571,2020-10-02 10:00:10.198411,,0 days 00:32:45.000000000,2020-10-02 10:32:55.198411,,1965,2448,0
1970,1731537411,46308874,2020-10-02 10:00:15.198411,,0 days 01:24:26.000000000,2020-10-02 11:24:41.198411,,5066,1970,0
2746,46416072,46292202,2020-10-02 10:00:16.198411,,0 days 01:12:51.000000000,2020-10-02 11:13:07.198411,,4371,2746,0
224,295657398,46338006,2020-10-02 10:00:17.198411,,0 days 01:18:21.000000000,2020-10-02 11:18:38.198411,,4701,224,0
2080,46468708,5713213409,2020-10-02 10:00:27.198411,,0 days 01:42:34.000000000,2020-10-02 11:43:01.198411,,6154,2080,0
1619,46299428,46315447,2020-10-02 10:00:27.198411,,0 days 00:31:18.000000000,2020-10-02 10:31:45.198411,,1878,1619,0
3025,6034236151,46409144,2020-10-02 10:00:43.198411,,0 days 01:21:17.000000000,2020-10-02 11:22:00.198411,,4877,3025,0
472,46371073,46397480,2020-10-02 10:00:46.198411,,0 days 00:21:23.000000000,2020-10-02 10:22:09.198411,,1283,472,0
378,46354395,46401914,2020-10-02 10:00:50.198411,,0 days 00:41:50.000000000,2020-10-02 10:42:40.198411,,2510,378,0
2124,46239222,46404328,2020-10-02 10:00:55.198411,,0 days 02:33:31.000000000,2020-10-02 12:34:26.198411,,9211,2124,0
1464,46469735,46279534,2020-10-02 10:00:55.198411,,0 days 03:24:12.000000000,2020-10-02 13:25:07.198411,,12252,1464,0
2946,46200807,5827691886,2020-10-02 10:01:00.198411,,0 days 01:54:29.000000000,2020-10-02 11:55:29.198411,,6869,2946,0
600,46372409,26371856,2020-10-02 10:01:04.198411,,0 days 00:36:05.000000000,2020-10-02 10:37:09.198411,,2165,600,0
2469,46426305,46339885,2020-10-02 10:01:07.198411,,0 days 00:53:17.000000000,2020-10-02 10:54:24.198411,,3197,2469,0
2376,46412541,3185222148,2020-10-02 10:01:11.198411,,0 days 01:17:16.000000000,2020-10-02 11:18:27.198411,,4636,2376,0
813,46395569,451946454,2020-10-02 10:01:13.198411,,0 days 01:22:25.000000000,2020-10-02 11:23:38.198411,,4945,813,0
1349,46325671,46359001,2020-10-02 10:01:15.198411,,0 days 01:45:03.000000000,2020-10-02 11:46:18.198411,,6303,1349,0
81,46325737,2311111652,2020-10-02 10:01:21.198411,,0 days 00:37:48.000000000,2020-10-02 10:39:09.198411,,2268,81,0
2732,46369830,296265585,2020-10-02 10:01:24.198411,,0 days 00:28:49.000000000,2020-10-02 10:30:13.198411,,1729,2732,0
2004,7883684019,2020614213,2020-10-02 10:01:33.198411,,0 days 00:33:34.000000000,2020-10-02 10:35:07.198411,,2014,2004,0
3053,46321276,279459657,2020-10-02 10:01:35.198411,,0 days 00:36:44.000000000,2020-10-02 10:38:19.198411,,2204,3053,0
2634,46355863,5420352485,2020-10-02 10:01:36.198411,,0 days 01:40:54.000000000,2020-10-02 11:42:30.198411,,6054,2634,0
1615,2020569012,46424974,2020-10-02 10:01:37.198411,,0 days 00:26:15.000000000,2020-10-02 10:27:52.198411,,1575,1615,0
2575,46238247,46380737,2020-10-02 10:01:43.198411,,0 days 01:47:46.000000000,2020-10-02 11:49:29.198411,,6466,2575,0
2959,46388843,5420352485,2020-10-02 10:02:00.198411,,0 days 01:12:54.000000000,2020-10-02 11:14:54.198411,,4374,2959,0
2022,46225675,46475561,2020-10-02 10:02:05.198411,,0 days 02:11:26.000000000,2020-10-02 12:13:31.198411,,7886,2022,0
657,46344104,46409979,2020-10-02 10:02:14.198411,,0 days 01:37:16.000000000,2020-10-02 11:39:30.198411,,5836,657,0
1895,416986723,46288057,2020-10-02 10:02:14.198411,,0 days 02:40:31.000000000,2020-10-02 12:42:45.198411,,9631,1895,0
2494,46350006,3776642513,2020-10-02 10:02:15.198411,,0 days 01:00:55.000000000,2020-10-02 11:03:10.198411,,3655,2494,0
2398,46344235,46423905,2020-10-02 10:02:27.198411,,0 days 01:39:58.000000000,2020-10-02 11:42:25.198411,,5998,2398,0
1652,3260832797,297095260,2020-10-02 10:02:30.198411,,0 days 02:38:05.000000000,2020-10-02 12:40:35.198411,,9485,1652,0
1215,46411926,1587126020,2020-10-02 10:02:31.198411,,0 days 00:28:21.000000000,2020-10-02 10:30:52.198411,,1701,1215,0
1836,46294768,2300172811,2020-10-02 10:02:37.198411,,0 days 01:58:26.000000000,2020-10-02 12:01:03.198411,,7106,1836,0
2533,46254743,46393385,2020-10-02 10:02:52.198411,,0 days 01:16:52.000000000,2020-10-02 11:19:44.198411,,4612,2533,0
69,2020569181,46388899,2020-10-02 10:02:59.198411,,0 days 00:09:37.000000000,2020-10-02 10:12:36.198411,,577,69,0
1283,2016733866,46428124,2020-10-02 10:03:05.198411,,0 days 02:12:53.000000000,2020-10-02 12:15:58.198411,,7973,1283,0
1210,46439691,46354790,2020-10-02 10:03:06.198411,,0 days 01:57:55.000000000,2020-10-02 12:01:01.198411,,7075,1210,0
1744,46359162,46324823,2020-10-02 10:03:07.198411,,0 days 01:07:04.000000000,2020-10-02 11:10:11.198411,,4024,1744,0
1121,46444283,46403983,2020-10-02 10:03:18.198411,,0 days 01:05:18.000000000,2020-10-02 11:08:36.198411,,3918,1121,0
2175,46380483,46429133,2020-10-02 10:03:26.198411,,0 days 00:41:22.000000000,2020-10-02 10:44:48.198411,,2482,2175,0
1427,429725358,2300344131,2020-10-02 10:03:32.198411,,0 days 02:15:30.000000000,2020-10-02 12:19:02.198411,,8130,1427,0
1925,46397022,46431771,2020-10-02 10:03:46.198411,,0 days 01:30:14.000000000,2020-10-02 11:34:00.198411,,5414,1925,0
2064,46326224,46424976,2020-10-02 10:03:50.198411,,0 days 01:07:11.000000000,2020-10-02 11:11:01.198411,,4031,2064,0
1354,1828039330,46321108,2020-10-02 10:03:54.198411,,0 days 01:18:49.000000000,2020-10-02 11:22:43.198411,,4729,1354,0
1542,46335640,46446050,2020-10-02 10:03:55.198411,,0 days 00:58:15.000000000,2020-10-02 11:02:10.198411,,3495,1542,0
1795,46338045,46380586,2020-10-02 10:04:09.198411,,0 days 01:48:32.000000000,2020-10-02 11:52:41.198411,,6512,1795,0
2174,2915175473,452003283,2020-10-02 10:04:11.198411,,0 days 00:44:03.000000000,2020-10-02 10:48:14.198411,,2643,2174,0
2725,46523687,46359001,2020-10-02 10:04:16.198411,,0 days 02:41:30.000000000,2020-10-02 12:45:46.198411,,9690,2725,0
752,46381518,5830440708,2020-10-02 10:04:16.198411,,0 days 01:06:52.000000000,2020-10-02 11:11:08.198411,,4012,752,0
1342,539179266,46380483,2020-10-02 10:04:21.198411,,0 days 00:23:41.000000000,2020-10-02 10:28:02.198411,,1421,1342,0
1567,46281451,5833160437,2020-10-02 10:04:29.198411,,0 days 01:10:46.000000000,2020-10-02 11:15:15.198411,,4246,1567,0
506,291130803,46429524,2020-10-02 10:04:30.198411,,0 days 00:33:43.000000000,2020-10-02 10:38:13.198411,,2023,506,0
1894,297095257,46375985,2020-10-02 10:04:33.198411,,0 days 00:35:01.000000000,2020-10-02 10:39:34.198411,,2101,1894,0
2836,440673001,2400161648,2020-10-02 10:04:37.198411,,0 days 00:58:52.000000000,2020-10-02 11:03:29.198411,,3532,2836,0
2342,46332486,46413714,2020-10-02 10:04:47.198411,,0 days 01:10:19.000000000,2020-10-02 11:15:06.198411,,4219,2342,0
2720,46279450,46380158,2020-10-02 10:04:53.198411,,0 days 01:19:15.000000000,2020-10-02 11:24:08.198411,,4755,2720,0
3021,46173800,291130803,2020-10-02 10:04:59.198411,,0 days 01:45:47.000000000,2020-10-02 11:50:46.198411,,6347,3021,0
2226,46291028,295693437,2020-10-02 10:04:59.198411,,0 days 00:18:53.000000000,2020-10-02 10:23:52.198411,,1133,2226,0
1250,46449210,282782985,2020-10-02 10:05:00.198411,,0 days 02:22:25.000000000,2020-10-02 12:27:25.198411,,8545,1250,0
2406,46289017,46405764,2020-10-02 10:05:00.198411,,0 days 01:08:03.000000000,2020-10-02 11:13:03.198411,,4083,2406,0
1309,46346369,46433671,2020-10-02 10:05:02.198411,,0 days 01:46:55.000000000,2020-10-02 11:51:57.198411,,6415,1309,0
1183,1083465092,46372928,2020-10-02 10:05:02.198411,,0 days 01:33:27.000000000,2020-10-02 11:38:29.198411,,5607,1183,0
734,46275698,46316927,2020-10-02 10:05:07.198411,,0 days 00:31:15.000000000,2020-10-02 10:36:22.198411,,1875,734,0
2419,46303115,46330409,2020-10-02 10:05:12.198411,,0 days 02:35:21.000000000,2020-10-02 12:40:33.198411,,9321,2419,0
1743,46431799,3187461411,2020-10-02 10:05:17.198411,,0 days 00:19:13.000000000,2020-10-02 10:24:30.198411,,1153,1743,0
319,46363868,46347891,2020-10-02 10:05:22.198411,,0 days 00:08:30.000000000,2020-10-02 10:13:52.198411,,510,319,0
2922,46273301,46430738,2020-10-02 10:05:24.198411,,0 days 01:35:11.000000000,2020-10-02 11:40:35.198411,,5711,2922,0
2799,46396666,46420083,2020-10-02 10:05:35.198411,,0 days 00:55:14.000000000,2020-10-02 11:00:49.198411,,3314,2799,0
1092,284809865,46443128,2020-10-02 10:05:40.198411,,0 days 01:24:25.000000000,2020-10-02 11:30:05.198411,,5065,1092,0
2684,46330056,7602862347,2020-10-02 10:06:01.198411,,0 days 01:26:18.000000000,2020-10-02 11:32:19.198411,,5178,2684,0
3079,139909812,46320660,2020-10-02 10:06:12.198411,,0 days 00:28:55.000000000,2020-10-02 10:35:07.198411,,1735,3079,0
738,46317209,46344047,2020-10-02 10:06:14.198411,,0 days 00:47:53.000000000,2020-10-02 10:54:07.198411,,2873,738,0
3108,46407199,46386453,2020-10-02 10:06:16.198411,,0 days 01:13:32.000000000,2020-10-02 11:19:48.198411,,4412,3108,0
2472,46372849,46432875,2020-10-02 10:06:16.198411,,0 days 00:32:54.000000000,2020-10-02 10:39:10.198411,,1974,2472,0
2526,7223369977,46445564,2020-10-02 10:06:17.198411,,0 days 01:09:30.000000000,2020-10-02 11:15:47.198411,,4170,2526,0
1133,295681891,46441487,2020-10-02 10:06:21.198411,,0 days 01:36:25.000000000,2020-10-02 11:42:46.198411,,5785,1133,0
625,46311309,46386453,2020-10-02 10:06:22.198411,,0 days 02:24:25.000000000,2020-10-02 12:30:47.198411,,8665,625,0
1085,46499890,46409687,2020-10-02 10:06:30.198411,,0 days 02:22:15.000000000,2020-10-02 12:28:45.198411,,8535,1085,0
2135,4789830521,46363900,2020-10-02 10:06:52.198411,,0 days 00:49:28.000000000,2020-10-02 10:56:20.198411,,2968,2135,0
580,5503380097,1978342141,2020-10-02 10:07:03.198411,,0 days 01:32:34.000000000,2020-10-02 11:39:37.198411,,5554,580,0
2653,46279220,46424769,2020-10-02 10:07:03.198411,,0 days 01:56:50.000000000,2020-10-02 12:03:53.198411,,7010,2653,0
2228,46276278,46396518,2020-10-02 10:07:06.198411,,0 days 01:12:41.000000000,2020-10-02 11:19:47.198411,,4361,2228,0
1207,46411053,291130803,2020-10-02 10:07:13.198411,,0 days 01:33:01.000000000,2020-10-02 11:40:14.198411,,5581,1207,0
1190,46468456,46407881,2020-10-02 10:07:13.198411,,0 days 00:40:58.000000000,2020-10-02 10:48:11.198411,,2458,1190,0
2397,46324556,46360980,2020-10-02 10:07:16.198411,,0 days 00:29:27.000000000,2020-10-02 10:36:43.198411,,1767,2397,0
842,46307676,3792707521,2020-10-02 10:07:21.198411,,0 days 01:51:11.000000000,2020-10-02 11:58:32.198411,,6671,842,0
87,46291482,46408005,2020-10-02 10:07:33.198411,,0 days 01:04:09.000000000,2020-10-02 11:11:42.198411,,3849,87,0
2430,46353508,46393716,2020-10-02 10:07:38.198411,,0 days 00:29:38.000000000,2020-10-02 10:37:16.198411,,1778,2430,0
3125,1258330535,46342008,2020-10-02 10:07:44.198411,,0 days 01:47:38.000000000,2020-10-02 11:55:22.198411,,6458,3125,0
1630,46403911,2302860462,2020-10-02 10:08:02.198411,,0 days 01:15:26.000000000,2020-10-02 11:23:28.198411,,4526,1630,0
1688,46445229,46419488,2020-10-02 10:08:14.198411,,0 days 00:43:06.000000000,2020-10-02 10:51:20.198411,,2586,1688,0
252,46436643,46393385,2020-10-02 10:08:31.198411,,0 days 00:41:59.000000000,2020-10-02 10:50:30.198411,,2519,252,0
1967,46548112,46417200,2020-10-02 10:08:36.198411,,0 days 04:37:21.000000000,2020-10-02 14:45:57.198411,,16641,1967,0
1520,46490080,46429568,2020-10-02 10:08:39.198411,,0 days 01:41:46.000000000,2020-10-02 11:50:25.198411,,6106,1520,0
948,4450642115,3301117463,2020-10-02 10:08:44.198411,,0 days 01:12:05.000000000,2020-10-02 11:20:49.198411,,4325,948,0
543,7886126792,46372557,2020-10-02 10:08:54.198411,,0 days 01:41:45.000000000,2020-10-02 11:50:39.198411,,6105,543,0
41,46281244,46274774,2020-10-02 10:08:57.198411,,0 days 00:18:58.000000000,2020-10-02 10:27:55.198411,,1138,41,0
2701,4623486308,46312179,2020-10-02 10:09:17.198411,,0 days 01:14:01.000000000,2020-10-02 11:23:18.198411,,4441,2701,0
3073,46481821,2311168475,2020-10-02 10:09:19.198411,,0 days 02:15:59.000000000,2020-10-02 12:25:18.198411,,8159,3073,0
507,46417602,814274933,2020-10-02 10:09:26.198411,,0 days 02:12:15.000000000,2020-10-02 12:21:41.198411,,7935,507,0
440,46303777,5830440707,2020-10-02 10:09:29.198411,,0 days 00:56:59.000000000,2020-10-02 11:06:28.198411,,3419,440,0
2083,734129709,2020569058,2020-10-02 10:09:33.198411,,0 days 01:46:54.000000000,2020-10-02 11:56:27.198411,,6414,2083,0
3033,46430897,46355230,2020-10-02 10:09:35.198411,,0 days 02:01:36.000000000,2020-10-02 12:11:11.198411,,7296,3033,0
564,46472772,2020569196,2020-10-02 10:09:39.198411,,0 days 01:43:03.000000000,2020-10-02 11:52:42.198411,,6183,564,0
2453,46309915,46347682,2020-10-02 10:09:48.198411,,0 days 01:25:06.000000000,2020-10-02 11:34:54.198411,,5106,2453,0
2245,46430099,46375508,2020-10-02 10:09:58.198411,,0 days 00:24:05.000000000,2020-10-02 10:34:03.198411,,1445,2245,0
2217,46410770,2300133169,2020-10-02 10:10:11.198411,,0 days 00:24:42.000000000,2020-10-02 10:34:53.198411,,1482,2217,0
1230,46323050,46400968,2020-10-02 10:10:11.198411,,0 days 01:24:31.000000000,2020-10-02 11:34:42.198411,,5071,1230,0
92,46419987,46375398,2020-10-02 10:10:12.198411,,0 days 00:26:47.000000000,2020-10-02 10:36:59.198411,,1607,92,0
147,46430983,46380582,2020-10-02 10:10:15.198411,,0 days 00:59:37.000000000,2020-10-02 11:09:52.198411,,3577,147,0
446,46356679,2311168469,2020-10-02 10:10:25.198411,,0 days 00:09:31.000000000,2020-10-02 10:19:56.198411,,571,446,0
258,46380734,46413368,2020-10-02 10:10:31.198411,,0 days 01:29:52.000000000,2020-10-02 11:40:23.198411,,5392,258,0
232,46448493,46433518,2020-10-02 10:10:32.198411,,0 days 00:32:15.000000000,2020-10-02 10:42:47.198411,,1935,232,0
2629,46349202,2020568929,2020-10-02 10:10:33.198411,,0 days 00:38:51.000000000,2020-10-02 10:49:24.198411,,2331,2629,0
1049,46491270,46349438,2020-10-02 10:10:45.198411,,0 days 02:39:57.000000000,2020-10-02 12:50:42.198411,,9597,1049,0
521,46390957,2020569050,2020-10-02 10:10:49.198411,,0 days 01:01:59.000000000,2020-10-02 11:12:48.198411,,3719,521,0
1376,46253922,46391119,2020-10-02 10:10:51.198411,,0 days 01:13:03.000000000,2020-10-02 11:23:54.198411,,4383,1376,0
172,46405876,1256560350,2020-10-02 10:10:52.198411,,0 days 00:57:02.000000000,2020-10-02 11:07:54.198411,,3422,172,0
394,46309787,5832869154,2020-10-02 10:10:54.198411,,0 days 00:50:16.000000000,2020-10-02 11:01:10.198411,,3016,394,0
1862,46326814,46347891,2020-10-02 10:10:59.198411,,0 days 01:19:03.000000000,2020-10-02 11:30:02.198411,,4743,1862,0
696,529002957,2309566351,2020-10-02 10:11:00.198411,,0 days 01:43:49.000000000,2020-10-02 11:54:49.198411,,6229,696,0
977,3185460795,3546012193,2020-10-02 10:11:01.198411,,0 days 00:19:13.000000000,2020-10-02 10:30:14.198411,,1153,977,0
2642,46237650,2309524193,2020-10-02 10:11:01.198411,,0 days 01:39:27.000000000,2020-10-02 11:50:28.198411,,5967,2642,0
761,46284415,46437475,2020-10-02 10:11:01.198411,,0 days 02:20:45.000000000,2020-10-02 12:31:46.198411,,8445,761,0
1985,46176462,46425887,2020-10-02 10:11:02.198411,,0 days 02:22:24.000000000,2020-10-02 12:33:26.198411,,8544,1985,0
1450,46436725,46380090,2020-10-02 10:11:02.198411,,0 days 01:23:51.000000000,2020-10-02 11:34:53.198411,,5031,1450,0
207,46357388,46309537,2020-10-02 10:11:04.198411,,0 days 00:36:07.000000000,2020-10-02 10:47:11.198411,,2167,207,0
74,46383340,46401867,2020-10-02 10:11:13.198411,,0 days 01:35:14.000000000,2020-10-02 11:46:27.198411,,5714,74,0
864,1976785351,46412622,2020-10-02 10:11:15.198411,,0 days 01:19:58.000000000,2020-10-02 11:31:13.198411,,4798,864,0
2410,2020569209,6653544388,2020-10-02 10:11:16.198411,,0 days 00:42:30.000000000,2020-10-02 10:53:46.198411,,2550,2410,0
1598,46401323,722976543,2020-10-02 10:11:25.198411,,0 days 00:35:03.000000000,2020-10-02 10:46:28.198411,,2103,1598,0
2560,2402709873,46384645,2020-10-02 10:11:27.198411,,0 days 01:58:36.000000000,2020-10-02 12:10:03.198411,,7116,2560,0
2828,6018562023,7042617202,2020-10-02 10:11:40.198411,,0 days 01:21:30.000000000,2020-10-02 11:33:10.198411,,4890,2828,0
2800,540932845,46405080,2020-10-02 10:11:45.198411,,0 days 01:49:50.000000000,2020-10-02 12:01:35.198411,,6590,2800,0
675,46331717,46410554,2020-10-02 10:11:47.198411,,0 days 01:12:18.000000000,2020-10-02 11:24:05.198411,,4338,675,0
742,2309566351,2772719495,2020-10-02 10:11:53.198411,,0 days 00:20:54.000000000,2020-10-02 10:32:47.198411,,1254,742,0
2702,4279179781,46446305,2020-10-02 10:11:57.198411,,0 days 02:25:00.000000000,2020-10-02 12:36:57.198411,,8700,2702,0
1298,3301285117,46281244,2020-10-02 10:12:01.198411,,0 days 00:54:45.000000000,2020-10-02 11:06:46.198411,,3285,1298,0
1645,46434352,344904554,2020-10-02 10:12:02.198411,,0 days 01:21:01.000000000,2020-10-02 11:33:03.198411,,4861,1645,0
2509,46315406,2309564230,2020-10-02 10:12:03.198411,,0 days 01:05:50.000000000,2020-10-02 11:17:53.198411,,3950,2509,0
974,4977839032,46483275,2020-10-02 10:12:04.198411,,0 days 01:34:47.000000000,2020-10-02 11:46:51.198411,,5687,974,0
2775,46279857,5832869154,2020-10-02 10:12:06.198411,,0 days 01:45:39.000000000,2020-10-02 11:57:45.198411,,6339,2775,0
2817,46288342,46380734,2020-10-02 10:12:14.198411,,0 days 01:03:34.000000000,2020-10-02 11:15:48.198411,,3814,2817,0
1105,46439661,46406206,2020-10-02 10:12:15.198411,,0 days 00:27:34.000000000,2020-10-02 10:39:49.198411,,1654,1105,0
1857,7602852631,46349202,2020-10-02 10:12:18.198411,,0 days 01:00:21.000000000,2020-10-02 11:12:39.198411,,3621,1857,0
2079,46322641,2308176052,2020-10-02 10:12:20.198411,,0 days 00:49:24.000000000,2020-10-02 11:01:44.198411,,2964,2079,0
862,46410499,46306527,2020-10-02 10:12:23.198411,,0 days 01:56:03.000000000,2020-10-02 12:08:26.198411,,6963,862,0
2733,297095268,46394901,2020-10-02 10:12:25.198411,,0 days 00:14:23.000000000,2020-10-02 10:26:48.198411,,863,2733,0
2159,46341915,46370255,2020-10-02 10:12:31.198411,,0 days 00:23:25.000000000,2020-10-02 10:35:56.198411,,1405,2159,0
900,46412243,46371409,2020-10-02 10:12:31.198411,,0 days 00:23:17.000000000,2020-10-02 10:35:48.198411,,1397,900,0
237,46275499,46281086,2020-10-02 10:12:32.198411,,0 days 00:48:42.000000000,2020-10-02 11:01:14.198411,,2922,237,0
826,46263772,46429565,2020-10-02 10:12:35.198411,,0 days 01:48:36.000000000,2020-10-02 12:01:11.198411,,6516,826,0
2213,46301250,2306442651,2020-10-02 10:12:37.198411,,0 days 01:14:45.000000000,2020-10-02 11:27:22.198411,,4485,2213,0
2693,7916705542,154531769,2020-10-02 10:12:44.198411,,0 days 01:48:10.000000000,2020-10-02 12:00:54.198411,,6490,2693,0
1936,5897198108,434441227,2020-10-02 10:12:57.198411,,0 days 00:48:06.000000000,2020-10-02 11:01:03.198411,,2886,1936,0
3193,46290081,46424347,2020-10-02 10:13:02.198411,,0 days 02:30:13.000000000,2020-10-02 12:43:15.198411,,9013,3193,0
1489,46343327,1587126027,2020-10-02 10:13:11.198411,,0 days 01:43:35.000000000,2020-10-02 11:56:46.198411,,6215,1489,0
633,46524105,154531769,2020-10-02 10:13:16.198411,,0 days 02:43:13.000000000,2020-10-02 12:56:29.198411,,9793,633,0
1006,46427136,291934616,2020-10-02 10:13:35.198411,,0 days 01:42:27.000000000,2020-10-02 11:56:02.198411,,6147,1006,0
414,46335668,283592837,2020-10-02 10:13:37.198411,,0 days 00:39:32.000000000,2020-10-02 10:53:09.198411,,2372,414,0
3111,1724634104,46284315,2020-10-02 10:13:37.198411,,0 days 00:36:26.000000000,2020-10-02 10:50:03.198411,,2186,3111,0
1070,3296689787,46441726,2020-10-02 10:13:39.198411,,0 days 00:57:23.000000000,2020-10-02 11:11:02.198411,,3443,1070,0
746,46396064,2020568929,2020-10-02 10:13:43.198411,,0 days 01:01:11.000000000,2020-10-02 11:14:54.198411,,3671,746,0
2924,46435792,46367002,2020-10-02 10:13:43.198411,,0 days 00:38:50.000000000,2020-10-02 10:52:33.198411,,2330,2924,0
1501,6299501719,46338919,2020-10-02 10:13:44.198411,,0 days 01:03:01.000000000,2020-10-02 11:16:45.198411,,3781,1501,0
343,1655770321,4380697054,2020-10-02 10:13:52.198411,,0 days 01:57:07.000000000,2020-10-02 12:10:59.198411,,7027,343,0
1206,46409619,46375508,2020-10-02 10:13:53.198411,,0 days 00:30:42.000000000,2020-10-02 10:44:35.198411,,1842,1206,0
1469,46301664,4571078880,2020-10-02 10:14:00.198411,,0 days 00:58:24.000000000,2020-10-02 11:12:24.198411,,3504,1469,0
2097,1205690119,46334380,2020-10-02 10:14:09.198411,,0 days 00:31:55.000000000,2020-10-02 10:46:04.198411,,1915,2097,0
73,46512256,2298641931,2020-10-02 10:14:09.198411,,0 days 02:40:49.000000000,2020-10-02 12:54:58.198411,,9649,73,0
2671,46342624,297095277,2020-10-02 10:14:09.198411,,0 days 01:00:15.000000000,2020-10-02 11:14:24.198411,,3615,2671,0
3138,2324042730,6932962785,2020-10-02 10:14:21.198411,,0 days 01:22:44.000000000,2020-10-02 11:37:05.198411,,4964,3138,0
975,46429568,46383466,2020-10-02 10:14:23.198411,,0 days 00:32:47.000000000,2020-10-02 10:47:10.198411,,1967,975,0
196,46372472,46273959,2020-10-02 10:14:25.198411,,0 days 00:54:50.000000000,2020-10-02 11:09:15.198411,,3290,196,0
2848,46429242,46424805,2020-10-02 10:14:25.198411,,0 days 00:14:49.000000000,2020-10-02 10:29:14.198411,,889,2848,0
193,46318194,46434784,2020-10-02 10:14:28.198411,,0 days 00:56:59.000000000,2020-10-02 11:11:27.198411,,3419,193,0
896,46299428,46401362,2020-10-02 10:14:31.198411,,0 days 01:06:48.000000000,2020-10-02 11:21:19.198411,,4008,896,0
919,46299601,7191603163,2020-10-02 10:14:33.198411,,0 days 01:03:55.000000000,2020-10-02 11:18:28.198411,,3835,919,0
1424,46409979,2300344131,2020-10-02 10:14:34.198411,,0 days 00:13:11.000000000,2020-10-02 10:27:45.198411,,791,1424,0
2486,46269856,46357050,2020-10-02 10:14:36.198411,,0 days 01:35:29.000000000,2020-10-02 11:50:05.198411,,5729,2486,0
2621,46303771,46457384,2020-10-02 10:14:43.198411,,0 days 01:35:49.000000000,2020-10-02 11:50:32.198411,,5749,2621,0
2290,46441656,46363900,2020-10-02 10:14:50.198411,,0 days 01:43:20.000000000,2020-10-02 11:58:10.198411,,6200,2290,0
1281,46287447,46365598,2020-10-02 10:14:54.198411,,0 days 01:52:35.000000000,2020-10-02 12:07:29.198411,,6755,1281,0
269,46310766,2020614213,2020-10-02 10:14:55.198411,,0 days 01:39:06.000000000,2020-10-02 11:54:01.198411,,5946,269,0
480,4566767933,46390451,2020-10-02 10:14:55.198411,,0 days 01:54:29.000000000,2020-10-02 12:09:24.198411,,6869,480,0
1274,1350165416,46423029,2020-10-02 10:14:58.198411,,0 days 01:27:38.000000000,2020-10-02 11:42:36.198411,,5258,1274,0
1636,46286795,5899675527,2020-10-02 10:14:59.198411,,0 days 01:09:57.000000000,2020-10-02 11:24:56.198411,,4197,1636,0
2247,46271805,46328546,2020-10-02 10:15:04.198411,,0 days 01:34:36.000000000,2020-10-02 11:49:40.198411,,5676,2247,0
430,46426217,2020569166,2020-10-02 10:15:11.198411,,0 days 00:18:08.000000000,2020-10-02 10:33:19.198411,,1088,430,0
1805,2352244639,46403983,2020-10-02 10:15:19.198411,,0 days 00:27:01.000000000,2020-10-02 10:42:20.198411,,1621,1805,0
3189,46339885,46399891,2020-10-02 10:15:20.198411,,0 days 00:44:25.000000000,2020-10-02 10:59:45.198411,,2665,3189,0
2450,288260026,46446656,2020-10-02 10:15:23.198411,,0 days 01:32:18.000000000,2020-10-02 11:47:41.198411,,5538,2450,0
1144,46407193,6841545896,2020-10-02 10:15:32.198411,,0 days 01:09:48.000000000,2020-10-02 11:25:20.198411,,4188,1144,0
2594,46309965,27471866,2020-10-02 10:15:38.198411,,0 days 01:21:11.000000000,2020-10-02 11:36:49.198411,,4871,2594,0
226,46276329,46431799,2020-10-02 10:15:50.198411,,0 days 01:20:57.000000000,2020-10-02 11:36:47.198411,,4857,226,0
2769,271391422,46435185,2020-10-02 10:15:51.198411,,0 days 01:05:50.000000000,2020-10-02 11:21:41.198411,,3950,2769,0
729,46380734,46413931,2020-10-02 10:15:55.198411,,0 days 00:21:28.000000000,2020-10-02 10:37:23.198411,,1288,729,0
